volume,qc,stage,p_batch,p_proxy,passed,fit_family,fit_method,p_preserve_age,p_reverse_age
T1_SIENAX_brain_norm_vol,QC7,additive,0.00773009264172326,0.00649923087806784,0,,,0.0137559724929724,0.999981992988258
T1_FIRST_left_hippocampus,QC1,additive,2.7290599810134e-13,0.67423578833322,1,,,0.271044813850993,0.999990639800105
T1_FIRST_left_hippocampus,QC2,additive,1.15693484817774e-57,0.64314425765046,1,,,0.671057765773058,0.999996856269265
T1_FIRST_left_hippocampus,QC3,additive,1.09585544718129e-49,0.00894107376012896,0,,,0.795074021504552,0.999998494883762
T1_FIRST_left_hippocampus,QC4,additive,1.18580241209084e-05,0.789693414259216,0,,,8.0942304862325e-05,0.999988827777205
T1_FIRST_left_hippocampus,QC5,additive,2.45335396771356e-33,0.022900957558509,0,,,0.298813661812415,0.999995569990584
T1_FIRST_left_hippocampus,QC6,additive,0.000202866028114699,0.168512358506764,1,,,0.437740041163282,0.999996505270629
T1_FIRST_left_hippocampus,QC7,additive,0.0092935408600018,0.952615905856716,1,,,0.229954323628013,0.999995421459607
T1_FIRST_right_hippocampus,QC1,additive,4.06791790423156e-13,0.951805986240858,1,,,0.266162525320755,0.999986244681778
T1_FIRST_right_hippocampus,QC2,additive,1.46707635587672e-57,0.497267484869625,1,,,0.714019867867279,0.999989810787416
T1_FIRST_right_hippocampus,QC3,additive,3.11879602562735e-48,0.397339685346752,1,,,0.871100078165962,0.999997746065789
T1_FIRST_right_hippocampus,QC4,additive,3.89085887554614e-05,0.219040586814668,0,,,2.99081811849215e-05,0.999988841864581
T1_FIRST_right_hippocampus,QC5,additive,2.86658226658865e-32,0.416890456684161,1,,,0.351747870720003,0.999997928357518
T1_FIRST_right_hippocampus,QC6,additive,0.000353351706364995,0.234930331778196,1,,,0.253259343479337,0.999980195333417
T1_FIRST_right_hippocampus,QC7,additive,0.011025204303696,0.643326900407111,1,,,0.20615385362014,0.99999381027815
